date,NO2
2025-08-31,4.6143608383091974e-05
2025-09-01,3.6154168631142714e-05
2025-09-02,2.037919881941905e-05
2025-09-03,3.836010184972318e-05
2025-09-04,5.6690536665506394e-05
2025-09-05,8.572575328132262e-05
2025-09-07,6.874802792881284e-05
2025-09-10,7.962809608468848e-05
2025-09-11,3.48856408764455e-05
2025-09-12,6.566155451124102e-05
2025-09-13,3.463952083295799e-05
2025-09-14,4.9550782844941187e-05
2025-09-15,9.74013332003275e-05
2025-09-16,0.00017525972541201026
2025-09-18,9.733744991352551e-05
2025-09-19,4.356063937825889e-05
2025-09-20,9.850616610699305e-05
2025-09-21,5.847179434658718e-05
2025-09-22,6.776611668051783e-05
2025-09-23,0.00010424291210095811
2025-09-24,0.00021350803908124652
2025-09-25,6.177669351789028e-05
2025-09-26,5.2400126384551424e-05
2025-09-27,3.787929327884603e-05
2025-09-28,2.561288265832686e-05
2025-09-29,5.3270661321674915e-05
2025-10-02,0.00015273803996471776
2025-10-03,9.306429271799142e-05
2025-10-04,6.918415763807926e-05
2025-10-05,4.1534418439586975e-05
2025-10-06,7.538235292285894e-05
2025-10-07,0.0001147776484341345
2025-10-08,5.93539684558498e-05
2025-10-09,0.00012572254679320662
2025-10-10,0.00014174167981031115
2025-10-11,6.888442527062374e-05
2025-10-12,2.221390120140477e-05
2025-10-13,1.395678542285994e-05
2025-10-14,8.477414175681067e-05
2025-10-15,9.583822944151956e-05
2025-10-16,5.753837739913013e-05
2025-10-17,4.327411657915261e-05
2025-10-18,4.4660019577679846e-05
2025-10-19,6.21144366916966e-05
2025-10-21,3.13446400519562e-05
2025-11-07,3.907152426601018e-05
2025-11-11,5.291172351340227e-05
2025-11-19,8.503039278127044e-05
2025-11-20,7.369881606370257e-05
2025-11-22,3.6675850304107876e-05
2025-11-23,3.499412596345931e-05
2025-11-25,4.8077174305679334e-05
2025-12-01,4.8067854954790075e-05
2025-12-02,3.2488896317139255e-05
2025-12-03,4.722645333940962e-05
2025-12-05,4.9959096230980745e-05
2025-12-06,3.6468478189681e-05
2025-12-07,4.1654414049463286e-05
2025-12-11,2.9026193047571533e-05
2025-12-12,2.7875301786381177e-05
2025-12-15,2.3765150100712476e-05
2025-12-17,1.8059810800993156e-05
2025-12-18,5.518579915493371e-05
2025-12-22,3.84790261395431e-05
2025-12-23,2.335149144106254e-05
2025-12-24,3.786297012150009e-05
2025-12-25,2.6798063186425364e-05
2025-12-29,3.9639758840798735e-05
2026-01-02,1.3696771086044552e-05
2026-01-04,2.8238577418145127e-05
2026-01-08,2.6503334318866516e-05
2026-01-09,1.5964405641516418e-05
2026-01-19,1.0346189097614604e-05
2026-01-20,1.337582019704948e-05
2026-01-24,2.1289385527038566e-05
2026-01-29,3.456004235343872e-05
2026-01-31,3.977438975683037e-05
2026-02-02,3.2600999096215386e-05
2026-02-03,1.9972603500705818e-05
2026-02-04,2.3321750429721025e-05
2026-02-06,1.9417469104354483e-05
2026-02-09,1.7986680086365682e-05
2026-02-15,1.8939813929869486e-05
2026-02-16,3.533637958439902e-05
2026-02-27,3.3931506735268564e-05
2026-02-28,4.5625439788676584e-05
2026-03-04,4.0295682814795075e-05
2026-03-08,3.341407213624372e-05
2026-03-09,2.436594497498591e-05
2026-03-10,3.0907128154163755e-05
2026-03-11,7.841929705023592e-06
2026-03-12,2.3035406061454754e-05
2026-03-13,1.982318723504862e-05
2026-03-14,3.0278002267628295e-05
2026-03-15,2.598869398087728e-05
2026-03-16,4.2295443702346614e-05
2026-03-17,3.480557375433301e-05
2026-03-18,4.130961652025446e-05
2026-03-23,2.0267243266984682e-05
2026-03-24,4.285322835759958e-05
2026-03-27,4.1329829172842844e-05
2026-03-29,0.00011718603173701375
2026-04-01,4.134839525841141e-05
2026-04-02,7.47721374968608e-05
2026-04-03,4.0391116282339965e-05
2026-04-05,5.549613068383483e-05
2026-04-07,5.565725438623947e-05
2026-04-08,2.052509179822764e-05
2026-04-13,4.295227796115336e-05
2026-04-14,3.19391209425158e-05
2026-04-15,5.609360219778898e-05
2026-04-16,6.347804442098943e-05
2026-04-17,7.068785836019393e-05
2026-04-19,5.493826146184778e-05
